ID,brand,name_cn,name_fr,year,score,top_note,middle_note,base_note,note
867159,香奈儿,珍藏系列-一九三二,Chanel Les Exclusifs de Chanel 1932,2013,7.8,醛 橙花油 香柠檬,茉莉 紫丁香 依兰 玫瑰 康乃馨,鸢尾根 麝香 黄葵 香根草 檀香木 红没药 香草 香豆素 焚香,
693288,香奈儿,珍藏系列-法式别墅28号,Chanel Les Exclusifs de Chanel 28 La Pausa,2007,8.4,,,,鸢尾根 皮革 玫瑰
805376,香奈儿,水晶恋绿意淡香水,Chanel Cristalle Eau Verte,2009,8.1,柠檬 香柠檬,橙花油 木兰,茉莉 鸢尾花 麝香,
769731,香奈儿,19号淡雅倾心版,Chanel N°19 Poudre,2011,8.1,白松香 橙花油 橘子,鸢尾花 茉莉,香根草 麝香 零陵香豆,
613920,香奈儿,可可女士淡香水,Chanel Coco Eau de Toilette,0000,8.4,玫瑰 桃子 芫荽 橘子 茉莉,公丁香 玫瑰 含羞草 橙花 三叶草,檀香木 红没药 琥珀 麝猫香 香草 零陵香豆 劳丹脂,
786662,香奈儿,俄罗斯皮革,Chanel Les Exclusifs de Chanel Cuir de Russie,1924,8.9,快乐鼠尾草 橙花 香柠檬 柠檬 橘子,鸢尾花 依兰 康乃馨 香根草 茉莉 玫瑰 雪松,皮革 桦木 烟草 麝香 琥珀 天芥菜 香草,
602849,香奈儿,魅力,Chanel Allure,1996,7.7,柠檬 橘子 百香果 桃子 香柠檬,忍冬 茉莉 木兰 小苍兰 睡莲 橙花 牡丹 玫瑰,香草 檀香木 琥珀 香根草 广藿香,
631255,香奈儿,珍藏系列-绿色气息,Chanel Les Exclusifs de Chanel Bel Respiro,2007,7.7,,,,绿叶 青草 皮革 花香
767248,香奈儿,珍藏系列-自由旅程淡香水,Chanel Les Exclusifs de Chanel Jersey EDT,2011,7.6,,,,薰衣草 香草 麝香 零陵香豆 野花 青草 玫瑰 茉莉
457231,香奈儿,5号低调奢华2015版,Chanel N°5 Eau Premiere,2015,8.5,醛 依兰 橙花油,茉莉 玫瑰,香草 檀香木 香根草,
773405,香奈儿,珍藏系列-彗星,Chanel Les Exclusifs de Chanel Comète,2024,7.5,樱花 醛,鸢尾花 天芥菜,麝香,
714586,香奈儿,可可小姐清新之水,Chanel Coco Mademoiselle L'Eau Privée,2020,7.7,橘子,玫瑰 茉莉,麝香,
441085,香奈儿,魅力淡香精,Chanel Allure Eau de Parfum,1999,7.9,,,,桃子 香草 橘子 茉莉 香柠檬 木兰 雪松 橙花 香根草 玫瑰 牡丹 莲花
716433,香奈儿,魅力男士运动古龙水,Chanel Allure Homme Sport Cologne,2007,8.4,柠檬 香柠檬 橙子 葡萄柚 橘子 醛 橙花油,冷杉 辛香料 榄香脂,麝香 胡椒 雪松 香根草 零陵香豆,
322624,香奈儿,1号红色之水,Chanel N°1 de Chanel L'Eau Rouge,2022,7.1,红浆果 柑橘,玫瑰 茉莉 橙花,麝香 鸢尾花,
950122,香奈儿,5号之水圣诞限量版,Chanel N°5 L'Eau Red Edition,2018,8.1,醛 柠檬 橙子 橙花油 香柠檬 青柠 橘子,依兰 茉莉 玫瑰,鸢尾根 香草 雪松 麝香,
881378,香奈儿,感性魅力,Chanel Allure Sensuelle,2005,8,广藿香 粉红胡椒 桃子 橘子 香柠檬,玫瑰 玫瑰 鸢尾花 茉莉 干果,广藿香 香草 辛香料 檀香木 香根草 劳丹脂 薰衣草 琥珀,
273086,香奈儿,邂逅梦幻,Chanel Chance Eau Splendide,2025,7.1,树莓 玫瑰 紫罗兰,天竺葵 玫瑰 薄荷,鸢尾花 雪松 麝香,
814668,香奈儿,魅力极限运动,Chanel Allure Homme Sport Eau Extreme,2012,7.9,橘子 薄荷 柏树 鼠尾草,胡椒,零陵香豆 麝香 檀香木 雪松,
931343,香奈儿,水晶恋淡香精,Chanel Cristalle Eau de Parfum,1993,8.1,橘子,香瓜 茉莉 桃子 依兰,橡木苔 香根草,
187218,香奈儿,珍藏系列-22号香精版,Chanel N°22,1922,8.8,醛 橙花油 百合 晚香玉 铃兰 橙花,依兰 茉莉 玫瑰 肉豆蔻,鸢尾花 香草 香根草,
995290,香奈儿,珍藏系列-米西亚,Chanel Les Exclusifs de Chanel Misia,2015,7.2,醛 荔枝,玫瑰 玫瑰 树莓 桃子,紫罗兰 脂粉味 鸢尾花 鸢尾根 零陵香豆 含羞草 安息香脂 香草,
659582,香奈儿,珍藏系列-一九三二淡香精,Chanel 1932 Eau de Parfum,2016,7.8,梨 醛 葡萄柚,鸢尾花 花香 茉莉,麝香 香根草 香草 木质 焚香,
