name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Bvlgari Man In Black 寶格麗當代真我男性香精 Parfum,"5,400","2,850",60ml,Bvlgari Man In Black 寶格麗當代真我男性香精 Parfum ，散發著非凡的優雅，將標誌性的原版香水提升到新的高度，使其濃郁、精緻。它完美融合了魅力四射的男性氣質和現代風格，並透過琥珀和木質香調的迷人融合展現出來。,深色木質香調、安息香,辛香料、欖香脂,鳶尾花、晚香玉,,https://www.1976.com.tw/prod/22884
Bvlgari Aqva 寶格麗水能量男性淡香水,"4,400","2,899",100ml,這款剛噴下去是大量海洋味帶點柑橘跟涼意，像在海灘突然一陣風附近剛好有賣橘子的味道，接下來就是我最喜歡的中味及後味，木質調的出現讓海味變成配角，成熟又men的味道帶清爽，非常適合日常。,海洋清新調,香橙樹葉、汁芽精油、蜜柑,角果澡、棉杉橘,琥珀木,https://www.1976.com.tw/prod/2538
Calvin Klein cK Eternity Aromatic Essence 永恆馥奇男性淡香精,"2,700","1,380",50ml,Calvin Klein 永恆系列全新上市永恆馥郁女性淡香精與永恆馥奇男性淡香精，延續永恆愛情故事，以馥郁、馥奇香氣與獨特的椰子精粹混合如感性的親密接觸，詮釋完美的永恆香氣。,東方清新調,杜松子,荳蔻、薰衣草,椰子,https://www.1976.com.tw/prod/22382
Calvin Klein CK Eternity AQUA 永恆之水男性淡香水,"3,200","1,250",100ml,類似使用男性沐浴乳洗完澡的香味，味道帶一點甜瓜 些許花香 水感清新，沒有制式男性香水很濃的麝香或柑橘類味道，所以男女通用，如果您在尋找自然不做作的香水，記得請把這款列入收購清單。,草香清新調 、 木質清新調 、 柑橘調 、 海洋清新調,冰凍小黃瓜、佛手柑雞尾酒、水蓮花、沾露綠葉,四川胡椒、黃香李、薰衣草、白雪松,檀香、零陵香木、廣藿香、麝香,https://www.1976.com.tw/prod/7457
JOOP! Homme Le Parfum 男性香水,"2,800","1,750",125ml,JOOP! Homme Le Parfum 瓶身的設計是半邊圓柱型玻璃瓶身，沈裝著透著如紅酒般魅惑的紫紅色香氛，圓弧形的設計讓男人一手掌握，擋不住濃郁且充滿原創性的自我氣息！JOOP! Homme Le Parfum 男香，獻給你舉手投足的男子氣概!!,木質東方調 、 東方花香調,薰衣草,鳶尾,果仁糖、香草、零陵香豆,https://www.1976.com.tw/prod/21520
Calvin Klein CK Eternity AQUA 永恆之水男性淡香水 TESTER,"3,200",980,100ml 原廠環保紙盒包裝，內容與正貨相同,清爽的花草香調，剛開始以花香呈現，中後味轉為青草的感覺，像是水草與青草的綜合，有種水漾清新，持久度OK，蠻推薦的。,草香清新調 、 木質清新調 、 柑橘調 、 海洋清新調,冰凍小黃瓜、佛手柑雞尾酒、水蓮花、沾露綠葉,四川胡椒、黃香李、薰衣草、白雪松,檀香、零陵香木、廣藿香、麝香,https://www.1976.com.tw/prod/7511
cK Eternity Air 永恆純淨男性淡香水,"3,200","1,150",100ml,前味海洋空氣杜松帶來夏日海風感，爾後苔蘚廣藿香紫羅蘭葉青蘋果混合後有些臭，不愛這搭配，後味龍涎香混海洋類似Jean Paul Gaultier Le Male In The Navy 水手男性淡香水。,東方清新調,清新空氣、柑橘、杜松,薰衣草、青蘋果、紫羅蘭葉,青綠苔蘚、 廣藿香、龍涎香,https://www.1976.com.tw/prod/15960
Calvin Klein CK DEFY 無畏之心男性淡香精版本,"2,800","1,212",50ml,在歷經一系列脆弱、自我反省和反抗的時刻，最終形成了為信念的勇敢飛躍，這是個人反抗和勇於冒險的象徵性隱喻。,皮革香調,佛手柑,皮革,香根草,https://www.1976.com.tw/prod/21321
Calvin Klein CK DEFY 無畏之心男性淡香水,"3,400","1,399",100ml,在歷經一系列脆弱、自我反省和反抗的時刻，最終形成了為信念的勇敢飛躍，這是個人反抗和勇於冒險的象徵性隱喻。,草香清新調 、 木質清新調 、 柑橘清新調,佛手柑、柑橘、雪松葉,薰衣草、鼠尾草、紫羅蘭葉,岩蘭草精油、琥珀、麝香,https://www.1976.com.tw/prod/19165
ck DEFY 無畏之心男性淡香水隨行香氛,"1,000",380,10ml,"這味道有點像是香奈兒的藍色，又有點像是迪奧的曠野之心！
噴在身上更像是兩種的混香，要說是集兩家之長嗎？我覺得沒有，認真的聞柑橘味沒有曠野來的誘惑力，木質調也沒藍色的那種高貴感，但考量價位及撞香率，噴這隻反而會引起朋友的關注及討論，算是值得入手的入門香，各種場合都可以使用。",木質清新調 、 柑橘清新調,佛手柑、柑橘、雪松葉,薰衣草、鼠尾草、紫羅蘭葉,岩蘭草精油、琥珀、麝香,https://www.1976.com.tw/prod/20004
Calvin Klein CK free 男性淡香水,"3,400","1,099",100ml,這款香水當初在雜誌上看到運動明星推薦的，買了之後，味道出乎意料的棒，味調分明而持久，這次應該是我購買的第3次了，真的值得一買再買。,木質清新調,波羅蜜、泰國八角茴香、杜松莓果、苦艾酒,咖啡萃取、麂皮、煙葉、南非布枯葉,廣藿香萃取、橡木、德州雪松、哥斯大黎加鐵木,https://www.1976.com.tw/prod/7094
Calvin Klein CK free 男性淡香水 TESTER,"3,400",850,100ml 原廠環保紙盒包裝 ，無瓶蓋,"ck free像是初出茅廬的年輕背包客，有木質調的踏實也有清新的爽朗氣質，
是一款吸引人，帶出愉悅感並且讓人有安全感的香水，噴在女生身上更能帶出一種知性且能夠依賴的感覺，
很棒的一款香水。",木質清新調,泰國八角茴香、波羅蜜、苦艾酒、杜松莓果,咖啡萃取、麂皮、煙葉、南非布枯葉,廣藿香萃取、橡木、德州雪松、哥斯大黎加鐵木,https://www.1976.com.tw/prod/7105
【身體系列】ck free 體香膏,"1,000",580,75g,搭配香水使用效果更好喔!,,,,,https://www.1976.com.tw/prod/8161
Calvin Klein CK Man 男性淡香水,"3,200","1,550",100ml,一種淡淡的清新味道，從前味稍微濃烈一點的植物香，到中後味的純正男人香，毫無違和感，擦了上班，身旁的女生總是不經意的多聞了幾下,木質清新調 、 辛辣調,柑橘、紫羅蘭葉、迷迭香、佛手柑,薰香、肉豆蔻、月桂樹、綠薄荷,麝香、檀香木、琥珀木、白扁柏木、零陵香豆木,https://www.1976.com.tw/prod/4680
Penhaligon's 潘海利根節日限量版男性小香水組盒,"4,550","1,850",5ml x 5,"新春送禮首選！內含布倫海姆、牧羊少年淡香精、黑玫瑰、杜松司令、皇家橡樹各5ML

*開瓶時請用拔的，不要旋轉瓶蓋喔！",,,,,https://www.1976.com.tw/prod/20479
Penhaligon's 潘海利根男性小香水組盒,"4,550","1,800",5ml x 5 抹式,"內含皇家橡樹、布倫海姆、牧羊少年淡香精、杜松司令、黑玫瑰各5ML

*開瓶時請用拔的，不要旋轉瓶蓋喔！",,,,,https://www.1976.com.tw/prod/16592
Hermes Voyage d'Hermes 愛馬仕之旅中性淡香水,"3,900","2,150",35ml,清晨，大霧瀰漫的森林 ⋯ 柑橘味，草味，木頭味，葉子上滾來滾去的露水，潮濕的泥土，蘚苔，日出後水氣逐漸蒸發轉為溫暖的陽光香氣。乾淨清新富禪意。很喜歡。似曾相識的熟悉感 ⋯,木質清新調,檀香、雪松,當歸花、圓柏,白麝香,https://www.1976.com.tw/prod/9057
Penhaligon's The Tragedy Of Lord George 潘海利根獸首肖像系列 喬治勛爵的悲劇（公鹿）淡香精,"10,350","6,450",75ml,"前調嗆辣的醇酒，激烈卻不惹人厭。一聞就無法自拔的愛上啊！
在酒精的催化下，整個人茫酥酥。隨著時間的流逝，味道越轉越柔和，變成溫柔的琥珀香。
不只外出任何場合可以穿，睡前也很適合助眠，這個款香讓人太愛了。",木質東方調,白蘭地、木質調、零陵香豆、琥珀,,,https://www.1976.com.tw/prod/16729
Boss Bottle 自信男性淡香水,"2,900","1,250",50ml,第一瓶BOSS的香水，年份稍久但不會顯得老氣， 很棒的一款日用香水，非常適合早上梳洗後使用， 從胡荽與苔蘚迎接一天的挑戰，到皮革雪松結束一天的辛勞， 整體給人溫柔但不陰柔， 每個男人都該嘗試的一瓶BOSS經典之作。,柑苔調 、 皮革香調,檸檬、柑橘、蜂蜜,胡荽、琥珀、苔蘚,檀香、皮革、雪松,https://www.1976.com.tw/prod/2614
Boss Bottle 自信男性淡香水TESTER,"3,800","1,450",100ml 原廠環保紙盒包裝，有瓶蓋,這款香水有些年份了，可是接受度可說是非常的高，價格便宜，味道又耐聞，是非常值得推薦的一瓶香水，整體來說非常的穩定，也符合主題的自信!氣味清新而充滿男人的簡潔!給人一種成熟穩重的感覺，不會讓人失望且討厭的香水味! (推薦!,柑苔調,檸檬、柑橘、蜂蜜,胡荽、 苔蘚、 琥珀,皮革、 雪松、 檀香,https://www.1976.com.tw/prod/4008
Penhaligon's The Tragedy Of Lord George 潘海利根獸首肖像系列 喬治勛爵的悲劇（公鹿）淡香精 TESTER,"10,350","6,250",75ml 原廠環保紙盒包裝，有瓶蓋,"前調嗆辣的醇酒，激烈卻不惹人厭。一聞就無法自拔的愛上啊！
在酒精的催化下，整個人茫酥酥。隨著時間的流逝，味道越轉越柔和，變成溫柔的琥珀香。
不只外出任何場合可以穿，睡前也很適合助眠，這個款香讓人太愛了。",木質東方調,白蘭地、木質調、零陵香豆、琥珀,,,https://www.1976.com.tw/prod/21977
Penhaligon's The Tragedy Of Lord George 潘海利根獸首肖像系列 喬治勛爵的悲劇（公鹿）淡香精香水筆,"1,800","1,080",10ml 無盒裝 效期至2026.05,開頭可以聞到明顯的琥珀，但不像琥珀君王和我愛琥珀那麼重口味，干邑的醇厚，配合著零陵香豆帶奶的脂甜感，讓人很享受的氣味。,木質東方調,白蘭地、木質調、零陵香豆、琥珀,,,https://www.1976.com.tw/prod/22194
Dolce & Gabbana 男性迷你瓶禮盒,"2,250","1,399",小香水4入,免稅店熱賣中！,,,,,https://www.1976.com.tw/prod/22315
【身體系列】Boss Bottle 自信男香體香膏,900,650,75ml,這是我的香氛初體驗，由於這支體香膏舒服而耐人尋味的體驗，我才開始接觸香氛商品。從前老以為大男人做什麼搞得香噴噴的，但是接觸香氛商品後，我很篤定的感受到：這些氣味能夠轉化、甚至憑空帶來一個好心情。體香膏的香精濃度多半是原始香水的1/3，所以即使塗得再用力、在皮膚表面畫上再多圈，也不會讓旁人有過香的感覺。這支體香膏是很清新的柑橘調，不過跟我接觸的柑橘調男香很不同，他有一種很特別的溫潤與紳士感，陽剛而溫柔，跟品名的《自信》二字頗為相當。,,,,,https://www.1976.com.tw/prod/2872
Penhaligon's The Duke 潘海利根獸首肖像系列獵犬男性淡香精,"10,800","6,950",75ml,起頭就是藏在木質調內的玫瑰香，不甜不粉反而有種植物系的清新活力，中調起開始帶出皮革感，跟原先的木質玫瑰展現出較陽剛及有點隨興的慵懶感，適合輕熟以下男，女用應該也不至於突兀，獵犬感覺也跟同為獸首系列的狐狸特別適合搭配，獵犬的侵略性擴散性都適中，工作休閒個場合泛用度高。,玫瑰花香調 、 木質花香調 、 皮革香調,胡椒、玫瑰,琴酒,皮革、木質元素,https://www.1976.com.tw/prod/15498
Dolce & Gabbana Pour Homme 同名男性淡香水,"2,700","1,550",75ml,這支D&G超經典香水，前味有令人振奮的柑橘香，非常明顯，但是別以為它是清淡的香水，中段的香料才是這支男香的靈魂-溫暖、自信，藏在這後面的是帶有煙燻味的檀香和零陵香豆(tonka bean)，更增加了這款香的深度。 本相非常持久，香味散發力也很強，適合充滿信心、喜歡表現、積極主動的男生使用。,柑橘清新調,佛手柑、橙花、柑橘,薰衣草、鼠尾草、胡椒,零陵香豆、雪松、菸草,https://www.1976.com.tw/prod/3259
Boss Bottle 自信男性淡香精版本,"3,200","1,212",50ml,清新中帶著穩重，給人一股安心的感覺；簡潔中帶著自信，給人一股溫暖的感覺。原來這就是你專屬的密碼，個人特質的展現。,木質東方調,蘋果、佛手柑、黑胡椒,栗子、小荳蔻、肉桂油,香根草、麝香,https://www.1976.com.tw/prod/19589
Dolce & Gabbana Pour Homme 同名男性淡香水 TESTER,"3,700","1,550",125ml 原廠環保紙盒包裝，內容與正貨相同,心動男香，設計師認為香水是男人在女人面前抒發靈魂的重要表徵，也是一種突顯自我風格的呈現。於是將這種精神融入了心動男香的設計中，讓女人一眼就心動的味道！,柑橘清新調,柑橘,薰衣草、小豆蔻,木質調,https://www.1976.com.tw/prod/7596
Boss Bottle 自信男性淡香精版本 TESTER,"4,250","1,380",100ml 原廠環保紙盒包裝，有瓶蓋,清新中帶著穩重，給人一股安心的感覺；簡潔中帶著自信，給人一股溫暖的感覺。原來這就是你專屬的密碼，個人特質的展現。,木質東方調,蘋果、佛手柑、黑胡椒,栗子、小荳蔻、肉桂油,香根草、麝香,https://www.1976.com.tw/prod/19076
Dolce&Gabbana Light Blue 淺藍男性淡香水,"4,000","1,800",125ml,這款香水前味有淡淡的柚子香，中味很短水生植物味，後味是乾凈的皂香味，這款沒有粉味，不會太濃也不突兀，適合夏日，缺點是香味持續時間短。,木質清新調,佛手柑、西西里柑橘、葡萄柚皮、 杜松,迷迭香、花椒、紫檀,麝香、焚香、橡木苔蘚,https://www.1976.com.tw/prod/6381
Dolce&Gabbana Light Blue 淺藍男性淡香水 TESTER,"4,000","1,600",125ml 原廠環保紙盒包裝，有瓶蓋,來自Dolce & Gabbana 專為男性設計的地中海香氣，Dolce&Gabbana Light Blue 淺藍男性淡香水舒爽而愜意。,木質清新調,佛手柑、西西里柑橘、葡萄柚皮、圓柏,迷迭香、四川胡椒、紫檀,麝香木、香薰、橡苔,https://www.1976.com.tw/prod/7111
Calvin Klein CK 男性小香水四入禮盒特惠組,"2,200","1,450",四入組,包含了CK各個系列的熱門經典，都是值得擁有的基本款，若不知從何下手，可以參考此組小香喔!,,,,,https://www.1976.com.tw/prod/22301
Boss Bottled Elixir 自信淬鍊男性香精,"3,750","1,212",50ml,Boss自信淬鍊香精為BOSS 自信系列中濃度最高的配方，為該系列增添了奢華的元素。以優雅的精緻感為特色，鼓勵您找到內在的光芒，成為自己的主宰,木質東方調 、 辛辣調,薰香、豆蔻,岩蘭草、廣藿香,雪松、岩薔薇,https://www.1976.com.tw/prod/21808
Boss Bottled Pacific 自信海洋之水男性淡香水,"2,800","1,380",50ml,味道非常清新給人一種陽光且年輕的感覺，味道不會過於濃烈，保持清香讓人覺得非常舒服的香味。,木質清新調,雪松、檸檬,椰子、絲柏、鹽,羊絨木、廣藿香、檀香,https://www.1976.com.tw/prod/20893
No.4711 Eau de Cologne 科隆古龍水,"1,388",880,100ml,非常適合洗完澡後盡情地噴灑在肌膚上，酒精的清涼加上輕微的檸檬精油香與蜜柚香，完全是夏日氣息，像一杯清爽可口的香柚茶，留香時間不長，但這讓人毫無負擔的香味，果然可以傳世200年。,柑苔調,檸檬、柑橘、佛手柑,薰衣草、迷迭香,橙花醇,https://www.1976.com.tw/prod/2606
Boss Bottled Pacific 自信海洋之水男性淡香水 TESTER,"3,600","1,800",100ml 原廠環保紙盒包裝，有瓶蓋,味道非常清新給人一種陽光且年輕的感覺，味道不會過於濃烈，保持清香讓人覺得非常舒服的香味。,木質清新調,雪松、檸檬,椰子、絲柏、鹽,羊絨木、廣藿香、檀香,https://www.1976.com.tw/prod/20895
Penhaligon's Mister Thompson 潘海利根獸首肖像系列 大象淡香精,"10,800","7,550",75ml,前味可以聞到鳶尾、風信子的花香，進入中調開始表現出木質調的雪松氣息，到後味再轉變為高雅的白花香氣。,木質東方調 、 辛辣調,薰衣草、欖香脂、粉紅胡椒,鳶尾、黑胡椒、天竺葵,香草、橡木、芝麻,https://www.1976.com.tw/prod/21512
